序号,场馆ID,地区,场馆名称,地址,纬度,经度,距上海中心(m)
197,143,奉贤区,上海真静传统木作博物馆,南桥镇南桥路839号,30.92646,121.453614,33851
198,205,松江区,程十发艺术馆,松江区中山中路458号,31.00723,121.22763,34125
199,4,浦东新区,浦东历史博物馆,惠南镇文师街18号,31.054746,121.767751,34127
200,208,松江区,YOUNG（清漾）美术馆,松江区三新北路900弄910号,31.033328,121.193707,34502
201,203,松江区,云间会堂美术馆,松江区人民南路6弄69号、人民南路26号,31.000263,121.23049,34510
202,204,松江区,松江美术馆,松江区三新北路900弄601号,31.033284,121.193588,34514
203,144,奉贤区,上海电线电缆博物馆,青村镇青伟路233号2-3楼,30.93474,121.602025,35074
204,141,青浦区,上海福寿园人文纪念馆,外青松公路7270弄600号,31.112005,121.130984,35164
205,209,松江区,上海松江云间少儿美术馆,松江区人民北路1503号二层,31.00532,121.210187,35435
206,147,崇明区,上海崇明向化灶文化博物馆,向化镇向中路91号,31.520061,121.722904,39964
207,16,浦东新区,上海海派红木艺术博物馆,万灵路99号,30.988468,121.812042,41967
208,217,崇明区,崇明美术馆,崇明区崇明大道7897号,31.619476,121.428106,43479
209,146,崇明区,崇明区博物馆,城桥镇鳌山路696号,31.618631,121.401826,43705
210,216,奉贤区,上海吴宜恩美术馆,奉贤区海湾旅游区海马路5818号,30.834701,121.499731,44070
211,214,青浦区,上海青浦区练塘可的美术馆,青浦区练塘镇金前村金田路428号,31.028689,121.04999,46147
212,145,奉贤区,上海知青博物馆,海乐路200号,30.81546,121.511827,46282
213,130,金山区,上海市沧海盐田盐文化博物馆,漕泾镇蒋庄路2067号,30.808435,121.358335,48191
214,129,金山区,上海南社纪念馆,张堰镇新建路130号,30.801761,121.285746,50917
215,128,金山区,金山区博物馆,金山大道1800号,30.744537,121.348774,55322
216,10,浦东新区,上海中国航海博物馆,申港大道197号,30.896022,121.919544,56443
217,202,金山区,金山区海鸥美术馆,金山区卫清西路55号2楼,30.73025,121.351224,56827
